Results of a batch run
File ,  Year , Grain1-C  , Shoot1-C  , Root1-C   , Grain2-C  , Shoot2-C  , Root2-C   , Grain3-C  , Shoot3-C  , Root3-C   , CutBiomassC, GrazedBiomassC,Manure-C  , Manure-N  , Fertilizer-N, Litter-C  , Litter-N  , Soil-fixation-N, CropN-from-soil, CropN-from-fixation,dSOC      , Field-CH4 , Field-N2O , Field-NO  , Field-N2  , Field-NH3 , Field-N-leach, Site_name                               , Rainfall  , AveT      , ENDSIN    , Water     , Nitrogen  , CROP      , CROP      ,Total_SOC-30,PET       ,Transp    ,Evap      ,ENDSIN    ,FloweringDay,PodDay    ,MaturityDay1,GrowthStatus,Grain1-N  , Shoot1-N  , Leaf1-N   , Root1-N   ,LAI1      ,Grain2-N  , Shoot2-N  , Leaf2-N   , Root2-N   ,LAI2      ,HarvSIN   ,GermReport,Biomass-Sens1,Biomass-Sens2,Biomass-Sens3,SeedFillDay,GCutNumber,SOC010    ,SOC1020   ,SOC2030   ,SOC3040   ,SOC4050   ,CROP      ,CROP      ,CROP      ,NSTRESS   ,NSTRESS   ,NSTRESS   ,IRRI      ,CROPTStress,PlantDate ,StuntGrowth,SeasPrecip,SeasEvap  ,CO2_Factor,MaxMn     ,cropCHU   ,SeasPET   ,SeasPETKC ,Leach     ,runoff    ,PhotoPeriod,GrassCUT1 ,GrassCUT2 ,GrassCUT3 ,GrassCUT4 ,GrassCUT5 ,GrassCUT6 ,Atmo_N    ,FertN     ,ManureN   ,LitterN   ,Total_InputN,CropN_up  ,Leach_NO3 ,RunOff_N  ,N2O       ,NO        ,N2        ,NH3       ,TotalN_Out,Diff_INOUT,Soil_DSN  ,BALANCE   ,ClimName  ,Clay      ,GS-Prec   ,GS-TEMP   ,GS-N2O    ,NGS1-Prec ,NGS1-TEMP ,NGS1-N2O  ,NGS2-Prec ,NGS2-TEMP ,NGS2-N2O  ,Leach_Water,LeafTemp  
File ,  Year , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgC/ha    , kgN/ha    , kgN/ha    , kgN/ha    , kgC/ha    , kgC/ha    , kgN/ha    , kgN/ha    , kgC/ha    , kgC/ha    , kgN/ha    , kgN/ha    , kgN/ha    , kgN/ha    , kgN/ha    , Site_name                               , mm        , Degree_C  , kgN/ha    , WaterStress, NStress   , HarvestDay, GrowDays  , mm        , mm        , mm        , mm        , mm        , mm        , mm        , mm        , mm        , mm        , kg N ha   , kg N ha   , kg N ha   , kg N ha   , kg N ha   , kg N ha   , kg N ha   , kg N ha   ,           , kg N ha   , day       , kg  ha    , kg ha     , kg ha     , day       , mm        , kg C ha   , kg C ha   , kg C ha   , kg C ha   , kg C ha   , type#     , type#     , type#     ,           ,           ,           ,           ,           ,           ,          ,mm        ,mm        ,index     ,kgN/ha    ,mm        ,mm        ,mm        ,mm        ,mm        ,          ,kgC/ha    ,kgC/ha    ,kgC/ha    ,kgC/ha    ,kgC/ha    ,kgC/ha    ,kgN/ha    ,kgN/ha    ,kgN/ha    ,kgN/ha    ,kgN/ha    ,kgN/ha    ,kgN/ha    ,kgN/ha    ,kgN/ha    ,kgN/ha    ,kgN/ha    ,kgN/ha    ,kgN/ha    ,kgN/ha    ,kgN/ha    ,kgN/ha    ,File      ,Fract     ,mm        ,oC        ,kgN/ha    ,mm        ,oC        ,kgN/ha    ,mm        ,oC        ,kgN/ha    ,mm        ,oC        
    1,      1,       0.00,    4740.97,    1080.85,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,    2418.00,       0.00,    900.00,      69.23,       0.00,    2522.59,      34.99,       5.40,      83.13,       5.40,   2373.20,      -1.15,       0.28,       0.15,       0.07,       0.00,       1.80, OttF14WEST                              ,    1008.30,       7.05,      32.32,       1.00,       1.00,    366,      0,  99692.34,    975.21,    201.89,    104.11,     32.32,    0,     0,   366,      0.00,      0.00,       0.00,       0.00,       0.00,      4.25,      0.00,       0.00,       0.00,       0.00,      0.00,      2.03,    3,   2212.88,      0.00,      0.00,    0,    2,  42851.12,  30960.65,  25880.57,  21823.27,  21200.79,   10,    0,    0,      1.00,      0.00,      0.00,      4.27,      0.72,  135,      1.00,    711.80,     43.58,      1.01,     61.79,   1898.00,    745.43,    666.89,    377.07,    104.75,      0.00,    414.62,   2003.39,      0.00,      0.00,      0.00,      0.00,     25.21,      0.00,     69.23,     34.99,    129.42,     83.13,      1.80,      0.69,      0.28,      0.15,      0.07,      0.00,     86.13,     43.29,     43.25,      0.04,OTT1990.txt-1.day,      0.31,    540.20,     15.51,      0.16,    276.50,     -1.43,      0.10,    191.60,     -1.80,      0.02,    377.07,    -20.01
    1,     28,    3270.23,    2931.90,    1099.46,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,      0.00,       0.00,     170.00,    3404.67,      49.86,       0.00,     172.02,       0.00,    981.48,      -1.06,       0.73,       0.64,       0.04,       6.68,      50.38, OttF14WEST                              ,    1286.10,       6.77,     105.46,       1.00,       1.00,    321,    174, 105004.41,    840.67,    196.59,    140.88,    105.46,  205,     0,   277,      1.00,    108.10,      24.23,      24.23,      14.54,      4.83,      0.00,       0.00,       0.00,       0.00,      0.00,     83.29,    3,      0.00,      0.00,      0.00,    0,    0,  38360.09,  38364.16,  28280.16,  21822.45,  20670.11,    1,    0,    0,      1.00,      0.00,      0.00,      0.00,      0.83,  148,      1.00,    712.80,     51.11,      1.09,    210.37,   1870.56,    560.47,    496.52,    702.97,    254.22,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,     32.15,    170.00,      0.00,     49.86,    252.01,    172.02,     50.38,      1.59,      0.73,      0.64,      0.04,      6.68,    232.08,     19.93,     26.60,     -6.67,OTT2017.txt-28.day,      0.31,    790.20,     16.32,      0.51,    364.70,     -2.08,      0.19,    131.20,     -4.65,      0.03,    702.97,      0.00
    1,     31,     767.81,     731.02,     287.65,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,      0.00,       0.00,       0.00,    1244.33,      25.67,      36.49,     109.58,      36.49,  -3480.20,      -1.26,       0.58,       0.54,       0.06,       0.00,      90.05, OttF14WEST                              ,     862.40,       7.67,      92.03,       1.00,       1.00,    293,    138, 103211.87,   1056.48,    174.22,    102.92,     92.03,    0,     0,   266,      1.00,    126.78,       5.57,       5.57,       8.14,      1.62,      0.00,       0.00,       0.00,       0.00,      0.00,     99.43,    2,      0.00,      0.00,      0.00,    0,    0,  37438.61,  37414.31,  28358.95,  21855.06,  20638.86,    3,    0,    0,      1.00,      0.00,      0.00,      0.00,      0.45,  156,      1.00,    352.80,     22.72,      1.10,    413.68,   1747.62,    609.69,    515.34,    479.54,    106.19,      1.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,     21.56,      0.00,      0.00,     25.67,     47.23,    109.58,     90.05,      0.38,      0.58,      0.54,      0.06,      0.00,    201.19,   -153.96,   -153.96,      0.00,OTT2020.txt-31.day,      0.31,    459.10,     16.21,      0.31,    278.50,     -1.82,      0.22,    124.80,      0.56,      0.05,    479.54,      0.00
    1,      2,       0.00,    6462.28,       2.28,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,    4075.19,       0.00,    900.00,      69.23,       0.00,    3120.91,      47.77,       5.16,      79.40,       5.16,   1897.86,      -1.12,       0.24,       0.18,       0.02,       0.00,       1.74, OttF14WEST                              ,     771.70,       7.09,      56.17,       1.00,       1.00,    366,      0, 101769.50,   1090.00,    295.27,     81.72,     56.17,    0,     0,   366,      0.00,      0.00,       0.00,       0.00,       0.00,      5.73,      0.00,       0.00,       0.00,       0.00,      0.00,      2.02,    3,   2484.63,      0.00,      0.00,    0,    2,  45044.80,  30897.12,  25827.58,  21786.70,  21149.49,   10,    0,    0,      1.00,      0.00,      0.00,      4.27,      0.57,  135,      1.00,    445.60,     21.49,      1.01,     61.90,   1953.85,    834.38,    742.94,    298.30,    152.75,      0.00,   2011.35,   2063.83,      0.00,      0.00,      0.00,      0.00,     19.29,      0.00,     69.23,     47.77,    136.29,     79.40,      1.74,      3.94,      0.24,      0.18,      0.02,      0.00,     85.52,     50.78,     50.72,      0.05,OTT1991.txt-2.day,      0.31,    352.20,     16.69,      0.17,    308.80,     -2.41,      0.05,    110.70,     -3.19,      0.02,    298.30,    -20.26
    1,     29,    3216.42,    2886.49,    1082.43,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,      0.00,       0.00,     170.00,    3328.82,      42.80,       0.00,     142.04,       0.00,    360.53,      -1.16,       0.62,       0.63,       0.05,       0.70,      63.27, OttF14WEST                              ,     935.40,       6.71,     148.52,       1.00,       1.00,    311,    178, 105340.56,    913.18,    220.15,    107.54,    148.52,  191,     0,   250,      1.00,     91.09,      17.88,      17.88,      14.31,      4.74,      0.00,       0.00,       0.00,       0.00,      0.00,    151.76,    3,      0.00,      0.00,      0.00,    0,    0,  38672.53,  38357.12,  28310.91,  21862.51,  20681.55,    1,    0,    0,      1.00,      0.00,      0.00,      0.00,      0.90,  134,      1.00,    506.60,     34.90,      1.09,    154.44,   1945.08,    671.82,    634.49,    411.20,    146.23,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,     23.38,    170.00,      0.00,     42.80,    236.19,    142.04,     63.27,      1.17,      0.62,      0.63,      0.05,      0.70,    208.47,     27.72,     27.73,     -0.00,OTT2018.txt-29.day,      0.31,    487.20,     16.75,      0.37,    255.50,     -3.37,      0.09,    192.70,     -3.76,      0.16,    411.20,      0.00
    1,     32,    4686.33,    4205.44,    1577.04,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,      0.00,       0.00,     154.00,    6957.26,     100.42,       0.00,     241.10,       0.00,   4054.30,      -1.28,       0.43,       0.64,       0.07,       0.00,      40.86, OttF14WEST                              ,     817.30,       8.11,      57.96,       0.99,       1.00,    314,    175, 107081.66,   1053.52,    263.16,    117.83,     57.96,  192,     0,   254,      1.00,    154.72,      32.04,      32.04,      20.83,      7.06,      0.00,       0.00,       0.00,       0.00,      0.00,     56.46,    2,      0.00,      0.00,      0.00,    0,    0,  39214.20,  39217.19,  28650.27,  21976.32,  20691.28,    1,    0,    0,      1.00,      0.00,      0.00,      0.00,      0.89,  140,      1.00,    487.40,     44.90,      1.10,    282.99,   1891.30,    705.17,    654.43,    361.48,     95.75,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,     20.43,    154.00,      0.00,    100.42,    274.85,    241.10,     40.86,      0.36,      0.43,      0.64,      0.07,      0.00,    283.46,     -8.60,     -8.60,     -0.01,OTT2021.txt-32.day,      0.31,    505.00,     17.31,      0.21,    199.10,     -1.39,      0.18,    113.20,     -0.92,      0.03,    361.48,      0.00
    1,      3,       0.00,    6500.75,      55.95,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,    4027.59,       0.00,    900.00,      69.23,       0.00,    3043.56,      46.25,       5.14,      79.11,       5.14,   1405.53,      -0.79,       0.35,       0.12,       0.03,       0.00,       0.88, OttF14WEST                              ,     978.00,       5.05,      58.24,       1.00,       1.00,    366,      0, 103297.20,    927.91,    266.92,     86.44,     58.24,    0,     0,   366,      0.00,      0.00,       0.00,       0.00,       0.00,      5.66,      0.00,       0.00,       0.00,       0.00,      0.00,      2.03,    3,   2441.10,      0.00,      0.00,    0,    2,  46622.63,  30874.54,  25800.03,  21766.80,  21116.72,   10,    0,    0,      1.00,      0.00,      0.00,      4.27,      0.55,  135,      1.00,    658.40,     26.06,      1.01,     62.00,   1679.10,    715.13,    675.25,    411.41,    224.60,      0.00,   1989.80,   2037.79,      0.00,      0.00,      0.00,      0.00,     24.45,      0.00,     69.23,     46.25,    139.93,     79.11,      0.88,      7.95,      0.35,      0.12,      0.03,      0.00,     88.44,     51.50,     51.46,      0.04,OTT1992.txt-3.day,      0.31,    539.30,     14.41,      0.29,    296.60,     -5.70,      0.04,    142.10,     -2.05,      0.03,    411.41,     -7.65
    1,     30,    1812.64,    1431.94,    1084.81,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,      0.00,       0.00,      76.00,    5127.98,      95.41,       0.00,     146.63,       0.00,   1168.73,      -1.06,       0.46,       0.54,       0.04,       0.00,      52.13, OttF14WEST                              ,     917.10,       5.96,     145.35,       1.00,       1.00,    252,    115, 106420.20,    993.19,    249.66,    107.08,    145.35,  188,     0,   228,      1.00,     99.79,      14.19,      14.19,      17.92,      2.98,      0.00,       0.00,       0.00,       0.00,      0.00,    149.43,    3,      0.00,      0.00,      0.00,    0,    0,  38939.61,  38939.40,  28541.20,  21926.53,  20701.97,    6,    0,    0,      1.00,      0.00,      0.00,      0.00,      0.92,  138,      1.00,    280.60,     27.26,      1.09,    168.91,   1395.73,    579.90,    530.26,    394.87,    214.56,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,     22.93,     76.00,      0.00,     95.41,    194.34,    146.63,     52.13,      1.48,      0.46,      0.54,      0.04,      0.00,    201.28,     -6.94,     -6.94,      0.00,OTT2019.txt-30.day,      0.31,    505.40,     15.82,      0.20,    321.90,     -4.56,      0.19,     89.80,     -3.08,      0.07,    394.87,      0.00
    1,     33,    1865.31,    2102.26,     764.46,       0.00,    1338.99,     318.01,       0.00,       0.00,       0.00,       0.00,       0.00,      0.00,       0.00,      78.00,    4760.29,     139.82,       6.59,     217.33,       6.59,    -36.19,      -1.05,       0.56,       0.43,       0.04,       0.00,      21.98, OttF14WEST                              ,    1012.00,       7.08,      10.25,       1.00,       1.00,    237,    105, 107009.47,   1059.44,    277.10,    139.48,     10.25,  172,     0,   208,      1.00,    102.60,      20.81,      20.81,      12.61,      4.43,      0.00,      26.51,      26.51,      10.49,      2.98,     58.78,    3,      0.00,      0.00,      0.00,    0,    0,  40022.72,  38315.60,  28671.15,  22027.06,  20701.46,    6,   47,    0,      1.00,      0.95,      0.00,      0.00,      0.94,  133,      1.00,    462.50,     39.74,      1.11,    181.49,   1153.24,    546.66,    494.51,    392.77,    162.04,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,     25.30,     78.00,      0.00,    139.82,    243.12,    217.33,     21.98,      0.49,      0.56,      0.43,      0.04,      0.00,    240.82,      2.30,    -22.94,     25.24,OTT2022.txt-33.day,      0.31,    593.20,     16.62,      0.46,    248.10,     -4.30,      0.09,    170.70,      0.69,      0.01,    392.77,      0.00
