Annual water budget for site: OttF14WEST
Year,Initial water pools (mm),,,,,Input (mm/yr),,,Output (mm/yr),,,,,,,End water pools (mm)
,Soil,Snow,Leaf,Pond,Deep,Precipitation,Irrigation,Interception,Snow evap,Leaf evap,Pond evap,Soil evap,Tranpiration,Leaching,Runoff,Soil,Snow,Leaf,Pond,Deep
  1,750.9,  0.0,  0.0,  0.2,  0.0,1008.3,  4.3,  0.0, 10.1,  0.0,  7.0, 87.1,201.9,377.1,104.8,946.0,  0.0,  0.0, 30.8,  0.0
 28,938.7,  6.4,  0.0,  0.0,  0.0,1286.1,  0.0,  0.0, 11.1,  0.0, 32.7, 97.1,196.6,703.0,254.2,900.7, 23.4,  0.0, 11.6,  0.0
 31,923.3, 13.1,  0.0,  0.0,  0.0,862.4,  0.0,  0.0,  9.6,  0.0, 21.4, 72.0,174.2,479.5,106.2,935.2,  0.0,  0.0,  0.0,  0.0
  2,946.0,  0.0,  0.0, 30.8,  0.0,771.7,  4.3,  0.0, 12.9,  0.0, 31.0, 37.8,295.3,298.3,152.7,897.8, 10.9,  0.0, 16.5,  0.0
 29,900.7, 23.4,  0.0, 11.6,  0.0,935.4,  0.0,  0.0, 10.7,  0.0, 35.9, 60.9,220.2,411.2,146.2,960.8,  4.6,  0.0, 20.3,  0.0
 32,935.2,  0.0,  0.0,  0.0,  0.0,817.3,  0.0,  0.0, 11.9,  0.0, 25.3, 80.6,263.2,361.5, 95.7,912.1,  1.5,  0.0,  0.0,  0.0
  3,897.8, 10.9,  0.0, 16.5,  0.0,978.0,  4.3,  0.0, 17.7,  0.0, 32.1, 36.7,266.9,411.4,224.6,908.5,  9.9,  0.0,  0.0,  0.0
 30,960.8,  4.6,  0.0, 20.3,  0.0,917.1,  0.0,  0.0, 13.0,  0.0, 26.8, 67.2,249.7,394.9,214.6,923.3, 13.1,  0.0,  0.0,  0.0
 33,912.1,  1.5,  0.0,  0.0,  0.0,1012.0,  0.0,  0.0, 11.6,  0.0, 30.2, 97.7,277.1,392.8,162.0,952.8,  0.0,  0.0,  0.0,  0.0
  4,908.5,  9.9,  0.0,  0.0,  0.0,1042.9,  4.3,  0.0, 15.9,  0.0, 27.0, 31.1,262.4,504.4,203.5,914.9,  7.2,  0.0,  0.0,  0.0
 31,923.3, 13.1,  0.0,  0.0,  0.0,862.4,  0.0,  0.0,  9.6,  0.0, 21.4, 72.0,174.2,479.5,106.2,935.2,  0.0,  0.0,  0.0,  0.0
 34,952.8,  0.0,  0.0,  0.0,  0.0,1003.8,  0.0,  0.0,  9.9,  0.0, 12.8, 64.8,236.1,574.8,129.5,928.0,  0.0,  0.0,  0.0,  0.0
  5,914.9,  7.2,  0.0,  0.0,  0.0,945.2,  4.3,  0.0, 13.3,  0.0, 30.6, 38.7,276.2,443.8,170.0,898.1,  1.1,  0.0,  0.0,  0.0
 32,935.2,  0.0,  0.0,  0.0,  0.0,817.3,  0.0,  0.0, 11.9,  0.0, 25.3, 80.6,263.2,361.5, 95.7,912.1,  1.5,  0.0,  0.0,  0.0
  6,898.1,  1.1,  0.0,  0.0,  0.0,1014.1,  4.3,  0.0, 16.7,  0.0, 30.6, 41.8,290.2,333.3,207.1,940.6, 56.3,  0.0,  0.0,  0.0
 33,912.1,  1.5,  0.0,  0.0,  0.0,1012.0,  0.0,  0.0, 11.6,  0.0, 30.2, 97.7,277.1,392.8,162.0,952.8,  0.0,  0.0,  0.0,  0.0
  7,940.6, 56.3,  0.0,  0.0,  0.0,912.8,  4.3,  0.0, 12.1,  0.0, 39.9, 34.3,268.9,458.8,159.9,940.5,  0.0,  0.0,  0.0,  0.0
